date,station,depth,inc.temp,subs,conc.uM,rep,treatment,time,fl,std,air.temp
10/22/13,st 1,5,17,leu,300,1,live,14:46,6703,,
10/22/13,st 1,5,17,leu,400,1,live,14:46,7517,,
10/22/13,st 1,5,17,leu,400,2,live,14:46,7506,,
10/22/13,st 1,5,17,leu,400,3,live,14:47,7390,,
10/22/13,st 1,5,17,leu,400,1,killed,14:47,6772,,
10/22/13,st 1,5,17,leu,400,2,killed,14:47,6685,,
10/22/13,st 1,5,17,leu,400,3,killed,14:47,6904,,
10/22/13,st 1,5,17,pyr,0,1,live,14:48,159,,
10/22/13,st 1,5,17,pyr,50,1,live,14:48,1112,,
10/22/13,st 1,5,17,pyr,100,1,live,14:48,1729,,
10/22/13,st 1,5,17,pyr,150,1,live,14:49,2527,,
10/22/13,st 1,5,17,pyr,200,1,live,14:49,3392,,
10/22/13,st 1,5,17,pyr,250,1,live,14:49,3820,,
10/22/13,st 1,5,17,pyr,300,1,live,14:49,4586,,
10/22/13,st 1,5,17,pyr,400,1,live,14:50,5756,,
10/22/13,st 1,5,17,pyr,400,2,live,14:50,5971,,
10/22/13,st 1,5,17,pyr,400,3,live,14:50,5792,,
10/22/13,st 1,5,17,pyr,400,1,killed,14:50,5635,,
10/22/13,st 1,5,17,pyr,400,2,killed,14:50,5637,,
10/22/13,st 1,5,17,pyr,400,3,killed,14:51,5682,,
10/22/13,st 1,5,17,ala-ala-phe,0,1,live,14:51,154.9,,
10/22/13,st 1,5,17,ala-ala-phe,50,1,live,14:52,1489,,
10/22/13,st 1,5,17,ala-ala-phe,100,1,live,14:52,2082,,
10/22/13,st 1,5,17,ala-ala-phe,150,1,live,14:52,2940,,
10/22/13,st 1,5,17,ala-ala-phe,200,1,live,14:52,3743,,
10/22/13,st 1,5,17,ala-ala-phe,250,1,live,14:52,4851,,
10/22/13,st 1,5,17,ala-ala-phe,300,1,live,14:53,5475,,
10/22/13,st 1,5,17,ala-ala-phe,400,1,live,14:53,7468,,
10/22/13,st 1,5,17,ala-ala-phe,400,2,live,14:53,7295,,
10/22/13,st 1,5,17,ala-ala-phe,400,3,live,14:53,7194,,
10/22/13,st 1,5,17,ala-ala-phe,400,1,killed,14:54,6676,,
10/22/13,st 1,5,17,ala-ala-phe,400,2,killed,14:54,6601,,
10/22/13,st 1,5,17,ala-ala-phe,400,3,killed,14:54,6979,,
10/22/13,st 1,5,17,arg,0,1,live,15:18,158.5,,
10/22/13,st 1,5,17,arg,50,1,live,15:18,972.3,,
10/22/13,st 1,5,17,arg,100,1,live,15:18,1703,,
10/22/13,st 1,5,17,arg,150,1,live,15:18,2082,,
10/22/13,st 1,5,17,arg,200,1,live,15:19,2601,,
10/22/13,st 1,5,17,arg,250,1,live,15:19,3039,,
10/22/13,st 1,5,17,arg,300,1,live,15:19,3541,,
